
12-12-2021 21:47,CUB - online payment,Milk with bharath,25,Expense
12-11-2021 09:22,CUB - online payment,From dad,1000,Income
12-11-2021 08:20,CUB - online payment,From stu,240,Income
12-10-2021 21:38,CUB - online payment,Shopping,241,Expense
12-10-2021 20:55,CUB - online payment,Momos,195,Expense
12-09-2021 20:03,CUB - online payment,Snack with bharath,40,Expense
12-09-2021 14:01,CUB - online payment,Lunch with company,280,Expense
12-09-2021 09:56,CUB - online payment,Milk with bharath,25,Expense
12-09-2021 08:47,CUB - online payment,Breakfast with stu,110,Expense
12-08-2021 14:15,CUB - online payment,Lunch with stu,100,Expense
12-08-2021 14:15,Cash,5 star,1120.72,Expense
12-08-2021 07:17,CUB - online payment,Milk,10,Expense
12-07-2021 09:54,CUB - online payment,Milk with bharath,25,Expense
12-07-2021 07:59,CUB - online payment,Horlicks,15,Expense
12-06-2021 21:59,CUB - online payment,Milk with bharath,25,Expense
12-06-2021 20:07,CUB - online payment,Shoe,500,Expense
12-06-2021 19:57,CUB - online payment,Cap,140,Expense
12-06-2021 14:08,CUB - online payment,Lunch with stu,150,Expense
12-05-2021 19:45,CUB - online payment,Milk with bharath,25,Expense
12-05-2021 18:41,CUB - online payment,Full hand and a hoodie,1800,Expense
12-05-2021 12:23,CUB - online payment,Rent,4800,Expense
12-05-2021 12:23,CUB - online payment,From dad,8000,Income
12-04-2021 21:05,CUB - online payment,Dinner,324,Expense
12-04-2021 20:20,CUB - online payment,Snack,65,Expense
12-04-2021 13:54,CUB - online payment,For company,30,Expense
12-04-2021 10:13,CUB - online payment,Breakfast,200,Expense
12-03-2021 21:59,CUB - online payment,Milk with bharath,25,Expense
12-03-2021 21:59,CUB - online payment,Belt,130,Expense
12-03-2021 21:28,CUB - online payment,Mask,20,Expense
12-03-2021 21:28,CUB - online payment,Snack,40,Expense
12-03-2021 21:28,CUB - online payment,From dad,1000,Income
12-02-2021 20:07,CUB - online payment,Ice cream,504,Expense
12-02-2021 19:48,CUB - online payment,Vadapaav,75,Expense
12-01-2021 19:57,CUB - online payment,Showergel,196,Expense
12-01-2021 14:00,CUB - online payment,Lunch with company,160,Expense
11/30/2021 14:24,CUB - online payment,Bharath birthday,115,Expense
11/30/2021 14:17,CUB - online payment,Lunch with company,128,Expense
11/30/2021 10:11,CUB - online payment,Breakfast,70,Expense
11/29/2021 20:47,CUB - online payment,Lunch with company,40,Expense
11/29/2021 20:47,CUB - online payment,Dinner,50,Expense
11/29/2021 20:09,CUB - online payment,Panipoori,40,Expense
11/29/2021 9:29,CUB - online payment,Breakfast,40,Expense
11/28/2021 19:59,CUB - online payment,Snack,94,Expense
11/28/2021 13:10,CUB - online payment,Zomato,269.4,Expense
11/27/2021 23:14,CUB - online payment,Dinner with gowdham,120,Expense
11/27/2021 22:34,CUB - online payment,Dinner with gowdham,130,Expense
11/27/2021 18:41,CUB - online payment,Rapido,35,Expense
11/27/2021 13:46,CUB - online payment,Lunch with company,75,Expense
11/27/2021 13:46,CUB - online payment,From dad,2000,Income
11/27/2021 9:33,CUB - online payment,Breakfast,30,Expense
11/26/2021 21:56,CUB - online payment,Beer,150,Expense
11/26/2021 20:57,CUB - online payment,Snack,102,Expense
11/26/2021 20:15,CUB - online payment,Panipoori,40,Expense
11/26/2021 14:14,CUB - online payment,Cashback,3,Income
11/26/2021 14:14,CUB - online payment,Lunch with company,150,Expense
11/26/2021 9:22,CUB - online payment,Breakfast,60,Expense
11/25/2021 20:27,CUB - online payment,Lunch with company,145,Expense
11/25/2021 20:27,CUB - online payment,Rapido,58,Expense
11/25/2021 20:27,CUB - online payment,Dinner,95,Expense
11/24/2021 19:26,CUB - online payment,Snack,15,Expense
11/24/2021 19:23,CUB - online payment,Dinner,70,Expense
11/24/2021 19:06,CUB - online payment,Panipoori,20,Expense
11/24/2021 19:06,CUB - online payment,Rapido,58,Expense
11/23/2021 22:53,CUB - online payment,Rapido,50,Expense
11/23/2021 22:53,CUB - online payment,Dinner,179,Expense
11/22/2021 14:16,CUB - online payment,Dinner,90,Expense
11/22/2021 14:16,CUB - online payment,Lunch with company,97,Expense
11/21/2021 17:07,CUB - online payment,Rapido,130,Expense
11/21/2021 15:50,CUB - online payment,Lunch,875,Expense
11/21/2021 13:30,CUB - online payment,Got from gobi,2000,Income
